NAME,GEO_ID,COUNTRY,LATITUDE,LONGITUDE,TYPE,ACCOM,BATH,ROOMS,BEDS,PRICE
Saint Patrick Flat,IE,Ireland,53.33924505,-6.27222639,Entire home/apt,2,1,1,1,$79.00 
Double room near O'Connell St.,IE,Ireland,53.35278912,-6.269563893,Private room,2,1,1,1,$52.00 
Modern Grand Canal Apartment - 2 BR,IE,Ireland,53.34390564,-6.23937066,Entire home/apt,4,1,2,2,$200.00 
Double bedroom close to city centre,IE,Ireland,53.36071491,-6.264517178,Private room,1,1,1,1,$29.00 
Great touristic location,IE,Ireland,53.33856786,-6.276950686,Private room,1,1,1,1,$40.00 
(J) - Single Room city centre,IE,Ireland,53.35906901,-6.264174424,Private room,1,1,1,1,$40.00 
"2 Bedrooms, 2 Bathrooms, Clean/Cosy",IE,Ireland,53.38295869,-6.242916936,Entire home/apt,6,2,2,6,$76.00 
Central Double Bedroom near Liffey,IE,Ireland,53.34475515,-6.279551668,Private room,2,1,1,1,$80.00 
Cosy Georgian flat in Ranelagh,IE,Ireland,53.3233264,-6.249747646,Entire home/apt,2,1,1,1,$108.00 
Charming 2 bed Townhouse,IE,Ireland,53.3354469,-6.237133706,Entire home/apt,4,1,2,2,$600.00 
Cosy Room in the Heart of Dublin,IE,Ireland,53.34951273,-6.269552292,Private room,2,1,1,1,$80.00 
"Apt 1 Lower Ormond Quay, Dublin 1",IE,Ireland,53.34747714,-6.263114092,Entire home/apt,5,1,1,3,$110.00 
#10 - Double studio,IE,Ireland,53.32564603,-6.265584295,Private room,2,1,1,1,$69.00 
Prime located large 2 bed apartment,IE,Ireland,53.33900778,-6.243863344,Entire home/apt,4,1,2,2,$160.00 
Trendy Hanover Quay - Deluxe En-Suite w King Bed,IE,Ireland,53.34421772,-6.235628117,Private room,4,2,1,1,$80.00 
Temple Bar Heart of Dublin,IE,Ireland,53.34420076,-6.267841269,Entire home/apt,6,1,2,4,$119.00 
Modern Apt - Sleeps 3 - Italian Qtr - City Centre,IE,Ireland,53.34689642,-6.265885332,Entire home/apt,3,1,2,2,$130.00 
Large Room With Double & Single Bed,IE,Ireland,53.38909269,-6.236666276,Private room,3,2,1,2,$36.00 
Bright Double with Garden View in Great Location!,IE,Ireland,53.32549603,-6.274055534,Private room,2,1,1,1,$55.00 
Superb large double room in Dublin 6,IE,Ireland,53.31153701,-6.248934968,Private room,2,1,1,1,$44.00 
Large double room+En suite (Dublin),IE,Ireland,53.36847167,-6.316087169,Private room,2,1,1,1,$64.00 
Comfy double bedroom near Phoenix Park.,IE,Ireland,53.3519323,-6.296249068,Private room,2,1,1,1,$49.00 
Private Triple Room City Centre,IE,Ireland,53.35239553,-6.272732477,Private room,3,1,1,2,$79.00 
A lovely loft room with a private living area.,IE,Ireland,53.34525698,-6.267071564,Private room,2,1,1,1,$50.00 
Fresh modern city centre apartment,IE,Ireland,53.35445122,-6.260705278,Entire home/apt,4,1,1,2,$90.00 
Dublin 1 bedroom flat in the heart of Ranelagh,IE,Ireland,53.32364215,-6.259094281,Entire home/apt,2,1,1,1,$37.00 
Comfortable Spacy Room,IE,Ireland,53.32339059,-6.238565696,Private room,5,1,1,2,$45.00 
Single Room,IE,Ireland,53.33728064,-6.311968114,Private room,1,1,1,1,$30.00 
Luxurious Big Single Room and private bathroom,IE,Ireland,53.35420042,-6.283443816,Private room,1,1,1,1,$65.00 
